# Optimizer overrides for specific simulation settings
# Format: scenario | setting | missing_rate | n | models | optimizer | cond_threshold
#
# When running Simulation_demo.r, the code checks this file.
# If a matching entry is found, the specified optimizer and cond_threshold are used.
# If no match is found, the default optimizer (L-BFGS-B) is used.
#
# "models" field:
#   - Comma-separated alpha-model indices ("2" means mu_010, "1,2" means mu_110, etc.).
#     Any subset combination containing a listed index gets the override on that
#     model's alpha fit.
#   - Special value "nu:<subset>" targets the ensemble (nu) GMM fit for a SPECIFIC
#     subset. <subset> is concatenated model indices ("nu:23" -> M2+M3 ensemble,
#     "nu:123" -> M1+M2+M3 full ensemble) or comma-separated ("nu:1,2,3"). Applies
#     only when the running subset's model_set exactly matches that target.
#
# Lines starting with # are comments.

# Scenario 7-1 and 8-1, setting3, miss30, n=2000: estimators involving M2
7-1 | setting3 | miss30 | 2000 | 2 | constrained_nr | 1e2
8-1 | setting3 | miss30 | 2000 | 2 | constrained_nr | 1e2

# Scenario 7-1 and 8-1, setting3, miss50, n=2000: estimators involving M2
7-1 | setting3 | miss50 | 2000 | 2 | constrained_nr | 1e2
8-1 | setting3 | miss50 | 2000 | 2 | constrained_nr | 1e2

# M3 fix for setting2.B1 miss50 n=2000 under current DGP (0.2*y - 0.8*u1 + 0.8*u2):
# cnr/1e4 -> ESE/ESD=1.100 vs default 0.561 with max|alpha|=251; 0 stuck, 0 sep, sd(alpha) meaningful.
# Best non-fake option — chosen 2026-05-16.
# Applied to scenarios sharing the same M3 fit on this data (per EQUIVALENT_SCENARIOS_MODEL3): {8-2, 8-3, 8-4, 9-2, 9-3, 9-4}.
8-2 | setting2 | miss50 | 2000 | 3 | constrained_nr | 1e4
8-3 | setting2 | miss50 | 2000 | 3 | constrained_nr | 1e4
8-4 | setting2 | miss50 | 2000 | 3 | constrained_nr | 1e4
9-2 | setting2 | miss50 | 2000 | 3 | constrained_nr | 1e4
9-3 | setting2 | miss50 | 2000 | 3 | constrained_nr | 1e4
9-4 | setting2 | miss50 | 2000 | 3 | constrained_nr | 1e4

